Id,title,dominant_topic,topic_prob,lda_type,gold,correct
4539704,"Can I do a reduce on a list comprehension into two lists, based on two values?",7,0.275000012462907,do_not_work,implement,False
1691076,Activate virtualenv via os.system(),7,0.275000367831382,do_not_work,way_of_using,False
4559438,searching a tuple list with wildcards?,7,0.3666666690044826,do_not_work,implement,False
1387315,Globbing the processing of an object&#39;s attributes in Python?,7,0.3666666603666446,do_not_work,implement,False
3998908,How do I perform a random event in Python by picking a random variable?,7,0.3666669512573176,do_not_work,way_of_using,False
914106,Python script embedded in Windows Registry,7,0.5249999938795811,do_not_work,implement,False
2166577,Casting from a list of lists of strings to list of lists of ints in Python,7,0.5249998946893567,do_not_work,way_of_using,False
2260235,How to clear the Entry widget after a button is pressed in Tkinter?,7,0.5249659024465904,do_not_work,do_not_work,True
463215,UnicodeEncodeError with BeautifulSoup 3.1.0.1 and Python 2.5.2,7,0.5249658684034936,do_not_work,do_not_work,True
3853480,Django 1.2 : strange logging behavior,7,0.5249999912789071,do_not_work,do_not_work,True
1947030,How does the Python conditional operator workaround work?,8,0.275000028991604,learning,how_why,False
2236886,Passing arguments to the generic views Django queryset,8,0.2750002670862209,learning,way_of_using,False
1926019,Python programming general questions,8,0.275000097401803,learning,learning,True
4364136,How to set the width of a Button in tkinter?,8,0.4007851961076954,learning,way_of_using,False
1030114,Calling an external program from python,8,0.2750000006287881,learning,way_of_using,False
2191695,How to use listen on basic.return in python client of AMQP,8,0.5249667598575093,learning,way_of_using,False
120926,Why does Python pep-8 strongly recommend spaces over tabs for indentation?,8,0.6999556656747415,learning,how_why,False
2400840,Python: Finding differences between elements of a list,8,0.5249999971959941,learning,way_of_using,False
4840851,Errors editing python with Vim,8,0.7749827567970453,learning,do_not_work,False
2147148,twisted http client,8,0.5250000023929595,learning,learning,True
5985832,Get the name of a list item,9,0.275000000805511,way_of_using,way_of_using,True
4802157,How to make 3D plots in Python?,9,0.3666666675842059,way_of_using,way_of_using,True
4970676,I am getting a syntax error on line 42(4th last line) and I cant fix it can someone please help?,9,0.3666667279143198,way_of_using,do_not_work,False
5134250,Login with python - megaupload,9,0.4975065012657023,way_of_using,do_not_work,False
796197,IronPython - Convert int to byte array,9,0.2750000075365502,way_of_using,way_of_using,True
2014012,Python: How do you format a string % number with str.format(),9,0.5499817756225399,way_of_using,way_of_using,True
4697885,How to use dynamic url in two handlers in Google App Engine?,9,0.5249930435028013,way_of_using,way_of_using,True
1736348,Python binary diff,9,0.5249891955856203,way_of_using,way_of_using,True
5928959,Python : Login to facebook to get user id... How to do it without a browser with python?,9,0.6999889344779202,way_of_using,way_of_using,True
